"trial","gen","n","g","z","w","n.pop0","alpha","evolve","design"
29,5,105,0.531428571428571,0.549048174088252,1.02715280680128,100,0,TRUE,0
29,6,107,0.661682242990654,0.608636458851614,1.0485673712334,100,0,TRUE,0
29,7,138,0.847826086956522,0.974744912302319,1.22729577327535,100,0,TRUE,0
29,8,161,0.914285714285714,0.887554529123236,1.21091985595245,100,0,TRUE,0
29,9,163,1.02208588957055,1.09312254121747,1.30609408101587,100,0,TRUE,0
29,10,194,1.16701030927835,1.15806999973495,1.32761988894428,100,0,TRUE,0
29,11,268,1.3589552238806,1.34992517967424,1.41828485524017,100,0,TRUE,0
29,12,381,1.45669291338583,1.48554875335808,1.48614170183733,100,0,TRUE,0
29,13,577,1.46932409012132,1.47893202905555,1.47049048160686,100,0,TRUE,0
29,14,781,1.50934699103713,1.51362188333043,1.49473240986596,100,0,TRUE,0
29,15,1188,1.62609427609428,1.61240257637868,1.53694083241642,100,0,TRUE,0
30,1,100,-0.118,-0.320507548050574,0.620025383847833,100,0.0035,TRUE,0
30,2,51,-2.18461423039297e-18,-0.11796971687413,0.700114325248906,100,0.0035,TRUE,0
30,3,32,0.06875,0.107941464599754,0.822542442168231,100,0.0035,TRUE,0
30,4,30,0.173333333333333,0.491728443774961,0.991900451865309,100,0.0035,TRUE,0
30,5,22,0.172727272727273,0.168462629089728,0.881309993468441,100,0.0035,TRUE,0
30,6,3,0.933333333333333,1.54366506767946,1.31769598364703,100,0.0035,TRUE,0
30,7,2,0.4,0.0695993108438191,0.738976093781566,100,0.0035,TRUE,0
30,8,1,-0.2,0.500676248691473,0.969466253506273,100,0.0035,TRUE,0
31,1,100,0.094,0.171432184140152,0.845649104842481,100,0,FALSE,0
31,2,95,-0.0189473684210526,-0.127046623176574,0.713834871805498,100,0,FALSE,0
31,3,70,0.102857142857143,0.283590686901396,0.91324120703629,100,0,FALSE,0
31,4,93,-0.0258064516129032,0.0350368007703768,0.783025794189982,100,0,FALSE,0
31,5,103,-0.0135922330097087,-0.0657444576433597,0.736068802990734,100,0,FALSE,0
31,6,84,0.0547619047619048,0.0546892084676123,0.784355004538916,100,0,FALSE,0
31,7,60,-0.0266666666666667,-0.10464028473404,0.711553373858274,100,0,FALSE,0
31,8,37,0.156756756756757,-0.00340373202547275,0.786287020672363,100,0,FALSE,0
31,9,26,0.269230769230769,0.0704886521355806,0.749438467267496,100,0,FALSE,0
31,10,12,-0.0166666666666667,-0.151054830436428,0.650033912283145,100,0,FALSE,0
31,11,10,-0.34,-0.75830206380596,0.4168654292125,100,0,FALSE,0
31,12,10,0.18,0.0863262428651171,0.768608476316134,100,0,FALSE,0
31,13,15,0.08,0.110413562369161,0.834116213756872,100,0,FALSE,0
31,14,8,-0.075,-0.230711063779029,0.630458362480895,100,0,FALSE,0
32,1,100,-0.034,-0.0868651715381189,0.721094675133297,100,0.0035,FALSE,0
32,2,62,-0.148387096774194,-0.158818864405561,0.693631266976271,100,0.0035,FALSE,0
32,3,39,-0.158974358974359,-0.204359200773996,0.670955497625978,100,0.0035,FALSE,0
32,4,15,0.306666666666667,0.288462961816227,0.904809833794943,100,0.0035,FALSE,0
32,5,10,-0.14,-0.176192630625458,0.64760370075489,100,0.0035,FALSE,0
32,6,5,0.08,0.408967218826118,0.929088297323916,100,0.0035,FALSE,0
33,1,20,0.01,0.19763317156933,0.840240803890113,20,0,TRUE,0
33,2,22,-0.0909090909090909,0.00999592191538337,0.748467241358885,20,0,TRUE,0
33,3,17,0.164705882352941,0.228454052316584,0.844816667621362,20,0,TRUE,0
33,4,10,0.82,0.702486966127793,1.10054304739911,20,0,TRUE,0
33,5,4,0.4,0.395004516592206,0.937559521470694,20,0,TRUE,0
33,6,8,0.75,0.484300878393718,0.979956746028278,20,0,TRUE,0
33,7,6,0.633333333333333,0.793500961111016,1.12002063866668,20,0,TRUE,0
33,8,5,0.24,-0.0448032159609851,0.663112743260961,20,0,TRUE,0
34,1,20,-0.08,0.0557906217355509,0.768666878716822,20,0.0035,TRUE,0
34,2,10,0.04,0.0185825524653801,0.791265314362763,20,0.0035,TRUE,0
34,3,11,-0.0545454545454545,-0.598640544803457,0.503857243672548,20,0.0035,TRUE,0
34,4,7,0.314285714285714,0.176501520582519,0.881072270041791,20,0.0035,TRUE,0
34,5,12,0.733333333333333,0.488566328414936,0.987867244678475,20,0.0035,TRUE,0
34,6,7,0.914285714285714,0.871966473528267,1.20572391924619,20,0.0035,TRUE,0
34,7,5,0.96,0.429587498820362,1.00607800835607,20,0.0035,TRUE,0
34,8,13,1.21538461538462,1.33513860926061,1.46188616197101,20,0.0035,TRUE,0
34,9,12,1.33333333333333,1.46756582001576,1.53732789301461,20,0.0035,TRUE,0
34,10,17,1.25882352941176,1.35590204096268,1.43664227825107,20,0.0035,TRUE,0
34,11,14,1.41428571428571,1.46884004864435,1.49544255283036,20,0.0035,TRUE,0
34,12,30,1.33333333333333,1.37089144970732,1.47294621481608,20,0.0035,TRUE,0
34,13,38,1.5,1.40358101149274,1.45591282593306,20,0.0035,TRUE,0
34,14,53,1.66415094339623,1.7398042549228,1.65129269316566,20,0.0035,TRUE,0
34,15,82,1.64146341463415,1.60988667666331,1.57797037621836,20,0.0035,TRUE,0
35,1,20,0.11,0.182532790168859,0.844789577337194,20,0,FALSE,0
35,2,10,-0.62,-0.327039176304645,0.630741004506297,20,0,FALSE,0
35,3,6,0.0333333333333333,0.0914963858175269,0.808811455330089,20,0,FALSE,0
35,4,4,0,-0.482286670381491,0.506943368911594,20,0,FALSE,0
36,1,20,0.03,0.345706961625613,0.944991281950516,20,0.0035,FALSE,0
36,2,27,-0.125925925925926,-0.0237119006903491,0.776718269020116,20,0.0035,FALSE,0
36,3,20,-0.59,-0.410528199316443,0.568853230192173,20,0.0035,FALSE,0
36,4,14,-0.0285714285714286,0.0517039725151558,0.765071719548609,20,0.0035,FALSE,0
36,5,16,-0.2125,-0.208062112947303,0.64612459506202,20,0.0035,FALSE,0
36,6,9,0.2,0.194401357168839,0.842168893844753,20,0.0035,FALSE,0
36,7,8,0.125,0.195552964783589,0.869141175242138,20,0.0035,FALSE,0
36,8,7,-0.228571428571429,0.129004256099089,0.816296216382936,20,0.0035,FALSE,0
36,9,7,-0.228571428571429,-0.0694806181355783,0.707457515489542,20,0.0035,FALSE,0
36,10,6,-9.26992857475106e-18,-0.153742325810798,0.703550234659876,20,0.0035,FALSE,0
36,11,6,-0.333333333333333,-0.76072673934119,0.520333998900922,20,0.0035,FALSE,0
36,12,1,-1.4,-1.06848754202535,0.252842547107673,20,0.0035,FALSE,0
37,1,100,0.014,0.0405889145994849,0.772986545309003,100,0,TRUE,0
37,2,97,-0.045360824742268,-0.0545602189672051,0.736174886605248,100,0,TRUE,0
37,3,61,0.180327868852459,0.0831643559227346,0.810109389756508,100,0,TRUE,0
37,4,39,0.117948717948718,0.0974671960988181,0.840418297158228,100,0,TRUE,0
37,5,36,0.366666666666667,0.244435219406549,0.886025771220657,100,0,TRUE,0
37,6,19,0.410526315789474,0.398668062098102,0.96768237253256,100,0,TRUE,0
37,7,18,0.688888888888889,0.661735756255977,1.07585491567061,100,0,TRUE,0
37,8,13,0.476923076923077,0.503282600462937,0.990830659886609,100,0,TRUE,0
37,9,3,0.0666666666666667,-0.100599352402705,0.647382629716336,100,0,TRUE,0
37,10,1,-0.2,-0.38674966847175,0.493424532554314,100,0,TRUE,0
38,1,100,0.04,0.0565045866515471,0.783882259229463,100,0.0035,TRUE,0
38,2,41,0.326829268292683,0.308085035962312,0.903356969302302,100,0.0035,TRUE,0
38,3,18,0.577777777777778,0.619770953154944,1.07642653620225,100,0.0035,TRUE,0
38,4,8,0.575,0.216441834774203,0.875337262994553,100,0.0035,TRUE,0
