"trial","gen","n","gbar","zbar","wbar","pfem","p.fix.pos","p.fix.neg","v","n.pop0","alpha","low.var"
780,2,28,0.0357142857142857,-0.0994432813089622,0.674633193443331,0.642857142857143,0,0,0.463188775510204,20,0,FALSE
780,3,20,0.17,0.210718983589605,0.812900785441158,0.5,0,0,0.45125,20,0,FALSE
780,4,27,0.155555555555556,0.172227556465073,0.835053811266864,0.518518518518518,0,0,0.428203017832647,20,0,FALSE
780,5,25,0.528,0.445329459813726,0.96481688691943,0.4,0,0,0.409632,20,0,FALSE
780,6,21,0.4,0.234713904833366,0.840044694644356,0.476190476190476,0,0,0.384897959183673,20,0,FALSE
780,7,15,0.333333333333333,0.177644193933479,0.829878019392767,0.466666666666667,0.08,0,0.320533333333333,20,0,FALSE
780,8,9,0.711111111111111,0.730896069137557,1.09544505308668,0.555555555555556,0.2,0.12,0.267901234567901,20,0,FALSE
780,9,10,0.94,1.00136305044801,1.2505751606057,0.6,0.2,0.12,0.2494,20,0,FALSE
780,10,10,0.98,1.26407007139296,1.40086824297925,0.2,0.28,0.12,0.1962,20,0,FALSE
780,11,8,1,1.21960470796057,1.38345334618342,0.375,0.28,0.12,0.218125,20,0,FALSE
780,12,11,1.03636363636364,1.01168789052304,1.25262343526227,0.181818181818182,0.28,0.12,0.215537190082645,20,0,FALSE
780,13,2,1,1.87455235745317,1.6041849356982,0.5,0.4,0.24,0.15,20,0,FALSE
780,14,3,1.13333333333333,2.10355031934922,1.79254245586364,0.333333333333333,0.48,0.28,0.102222222222222,20,0,FALSE
780,15,1,1.6,1.88671994118789,1.77534155239253,1,0.6,0.28,0.06,20,0,FALSE
781,1,20,-0.1,-0.169898838477902,0.657864299704566,0.55,0,0,0.485,20,0,FALSE
781,2,18,-0.155555555555556,-0.4501636128433,0.534591585147707,0.722222222222222,0,0,0.46320987654321,20,0,FALSE
781,3,24,0.175,0.41403262753959,0.948269187721879,0.458333333333333,0,0,0.442534722222222,20,0,FALSE
781,4,15,-3.70074341541719e-18,-0.0753168466664049,0.716728635018343,0.6,0,0,0.431555555555556,20,0,FALSE
781,5,6,0.3,-0.040606593941471,0.719203079883649,0.166666666666667,0.08,0.04,0.379444444444444,20,0,FALSE
781,6,1,0,-0.0435853856808383,0.630027057770443,0,0.24,0.24,0.26,20,0,FALSE
782,1,20,-0.27,-0.0909380413652069,0.680639472944254,0.25,0,0,0.48885,20,0,FALSE
782,2,10,-0.26,-0.237346282446359,0.597838290448422,0.6,0,0,0.4546,20,0,FALSE
782,3,5,-0.24,-0.47261125171628,0.641360347243313,0.4,0.04,0.04,0.3864,20,0,FALSE
782,4,4,-0.15,0.550324531244556,0.978694679764243,0.25,0.04,0.12,0.34625,20,0,FALSE
782,5,1,0.4,-0.14506277499693,0.579314823765272,1,0.4,0.32,0.14,20,0,FALSE
783,1,20,0.01,-0.0879572343612699,0.697217639251092,0.45,0,0,0.48605,20,0,FALSE
783,2,16,-0.25,-0.0437018673726606,0.698097157018635,0.5,0,0,0.45984375,20,0,FALSE
