"trial","gen","n","gbar","zbar","wbar","pfem","p.fix.pos","p.fix.neg","v","n.pop0","alpha","low.var","ext.gen","extinct"
621,12,67,1.42089552238806,1.31826838982517,1.39932992542772,0.522388059701492,0.12,0.04,0.290679438627757,20,0.0035,FALSE,16,FALSE
621,13,72,1.38055555555556,1.37240871641946,1.4363702040013,0.527777777777778,0.16,0.04,0.289286265432099,20,0.0035,FALSE,16,FALSE
621,14,81,1.56049382716049,1.65268929559774,1.53651169051705,0.567901234567901,0.16,0.04,0.285593659503125,20,0.0035,FALSE,16,FALSE
621,15,103,1.51844660194175,1.62766805171147,1.5447578957467,0.495145631067961,0.16,0.04,0.294310491092469,20,0.0035,FALSE,16,FALSE
621,16,120,1.51,1.57380353104547,1.51572920989342,0.558333333333333,0.2,0.04,0.292666666666667,20,0.0035,FALSE,16,FALSE
622,1,20,-0.06,-0.0395284992857041,0.700076981033222,0.65,0,0,0.4915,20,0.0035,FALSE,6,TRUE
622,2,15,-0.0933333333333333,-0.160919999749841,0.692786185428062,0.666666666666667,0,0,0.475022222222222,20,0.0035,FALSE,6,TRUE
622,3,15,0.04,0.0284001351392299,0.727734630833462,0.666666666666667,0,0,0.450488888888889,20,0.0035,FALSE,6,TRUE
622,4,7,-7.93016446160826e-18,-0.173276128596258,0.614979169920071,0.428571428571429,0,0,0.416734693877551,20,0.0035,FALSE,6,TRUE
622,5,2,0,0.00755880645092104,0.656541142680754,0.5,0.12,0.08,0.35,20,0.0035,FALSE,6,TRUE
622,6,1,0.2,0.607235839617196,1.00627900235504,0,0.28,0.24,0.24,20,0.0035,FALSE,6,TRUE
623,1,20,-0.02,-0.0408956588346748,0.73062663525888,0.5,0,0,0.4928,20,0.0035,FALSE,3,TRUE
623,2,12,-0.0833333333333333,-0.273871274438322,0.576271614561241,0.5,0,0,0.467916666666667,20,0.0035,FALSE,3,TRUE
623,3,5,-0.12,0.196059327902235,0.812337867267355,0.6,0,0,0.4432,20,0.0035,FALSE,3,TRUE
624,1,20,0.04,0.060187276845218,0.801142826323148,0.6,0,0,0.4844,20,0.0035,FALSE,10,TRUE
624,2,23,0.0608695652173913,0.12334592291537,0.795075325331412,0.521739130434783,0,0,0.455500945179584,20,0.0035,FALSE,10,TRUE
624,3,22,0.2,0.278115604574711,0.854664910763558,0.318181818181818,0,0,0.441735537190083,20,0.0035,FALSE,10,TRUE
624,4,11,0.2,0.177301112433705,0.800973566873509,0.545454545454545,0,0,0.378181818181818,20,0.0035,FALSE,10,TRUE
624,5,6,0.266666666666667,-0.1509461416493,0.628019056950408,0.333333333333333,0.08,0,0.335555555555556,20,0.0035,FALSE,10,TRUE
624,6,4,0.6,0.871905646381793,1.17574420114102,0.25,0.2,0.04,0.3,20,0.0035,FALSE,10,TRUE
624,7,4,0.9,0.838263564024305,1.16222717386391,0.5,0.24,0.08,0.2575,20,0.0035,FALSE,10,TRUE
624,8,3,0.6,0.875236637376313,1.1769825743199,0.333333333333333,0.36,0.16,0.2,20,0.0035,FALSE,10,TRUE
624,9,2,0.3,-0.260664705352696,0.52859236116136,0.5,0.36,0.28,0.155,20,0.0035,FALSE,10,TRUE
