"trial","gen","n","gbar","zbar","wbar","p.fix.pos","p.fix.neg","v","n.pop0","alpha","low.var","ext.gen","extinct"
3631,6,23,0.469565217391304,0.477298267060882,1.01366868482203,0,0,0.39413988657845,20,0,FALSE,15,FALSE
3631,7,20,0.66,0.566847276217394,1.0308111757895,0,0,0.393,20,0,FALSE,15,FALSE
3631,8,15,0.893333333333333,0.889414715854302,1.23100957802032,0.04,0,0.351111111111111,20,0,FALSE,15,FALSE
3631,9,18,0.944444444444444,0.859328204837731,1.21374053640671,0.12,0,0.323518518518519,20,0,FALSE,15,FALSE
3631,10,15,1.2,1.19052894548856,1.33971689779172,0.16,0,0.295022222222222,20,0,FALSE,15,FALSE
3631,11,18,1.46666666666667,1.31448049142996,1.44978568700342,0.24,0,0.288765432098765,20,0,FALSE,15,FALSE
3631,12,33,1.52121212121212,1.53196562770966,1.54799655322885,0.24,0,0.276143250688705,20,0,FALSE,15,FALSE
3631,13,65,1.61846153846154,1.61578246996265,1.59666967842098,0.24,0,0.274087573964497,20,0,FALSE,15,FALSE
3631,14,78,1.61794871794872,1.62125808662264,1.59533554971127,0.24,0.04,0.269602235371466,20,0,FALSE,15,FALSE
3631,15,88,1.72727272727273,1.82713695453512,1.64921160259337,0.28,0.04,0.269478305785124,20,0,FALSE,15,FALSE
3632,1,20,0.17,0.20429781699341,0.918846586212697,0,0,0.48605,20,0,FALSE,15,FALSE
3632,2,19,0.0105263157894737,0.0968867489557493,0.820879507410398,0,0,0.465373961218837,20,0,FALSE,15,FALSE
3632,3,22,0.163636363636364,0.0936119104754285,0.825009255788639,0,0,0.458677685950413,20,0,FALSE,15,FALSE
3632,4,19,0.389473684210526,0.301589211452986,0.905762364180082,0,0,0.421495844875346,20,0,FALSE,15,FALSE
3632,5,20,0.31,0.307234085938138,0.918461402887711,0,0,0.42375,20,0,FALSE,15,FALSE
3632,6,19,0.421052631578947,0.520258258354906,1.00861122577156,0,0,0.418227146814404,20,0,FALSE,15,FALSE
