"trial","gen","n","gbar","zbar","wbar","p.fix.pos","p.fix.neg","v","n.pop0","alpha","low.var","ext.gen","extinct"
11,3,12,-0.116666666666667,-0.346127629372629,0.577699075055751,0.24,0.24,0.22125,20,0.0035,TRUE,15,FALSE
11,4,6,0.833333333333333,0.701545691552501,1.10535807799413,0.36,0.24,0.149444444444444,20,0.0035,TRUE,15,FALSE
11,5,10,0.92,0.931133142363049,1.2178899158999,0.36,0.24,0.1552,20,0.0035,TRUE,15,FALSE
11,6,7,1,1.45235089734065,1.55292400446937,0.36,0.24,0.164081632653061,20,0.0035,TRUE,15,FALSE
11,7,7,1.08571428571429,1.80191023867806,1.64910297469436,0.36,0.24,0.14734693877551,20,0.0035,TRUE,15,FALSE
11,8,13,0.953846153846154,0.889379125995288,1.23103305865063,0.36,0.24,0.142603550295858,20,0.0035,TRUE,15,FALSE
11,9,10,0.7,0.899167790850877,1.2478809089718,0.44,0.24,0.1266,20,0.0035,TRUE,15,FALSE
11,10,12,0.7,0.522444953896645,1.01483246728713,0.44,0.24,0.119444444444444,20,0.0035,TRUE,15,FALSE
11,11,13,0.646153846153846,0.729946385449852,1.12912717302239,0.44,0.28,0.10094674556213,20,0.0035,TRUE,15,FALSE
11,12,20,0.63,0.742132227153973,1.1611033693655,0.44,0.28,0.10155,20,0.0035,TRUE,15,FALSE
11,13,28,0.714285714285714,0.63334839221712,1.0879500240151,0.44,0.28,0.102397959183673,20,0.0035,TRUE,15,FALSE
11,14,20,0.83,0.589907799490689,1.05386992788686,0.44,0.28,0.10135,20,0.0035,TRUE,15,FALSE
11,15,11,0.872727272727273,0.754522672325112,1.14555982789602,0.48,0.28,0.0960330578512397,20,0.0035,TRUE,15,FALSE
12,1,20,0.22,0.214869420746241,0.851689428660407,0.24,0.24,0.25315,20,0.0035,TRUE,13,TRUE
12,2,14,0.257142857142857,-0.130545843237969,0.680854025688858,0.24,0.24,0.233265306122449,20,0.0035,TRUE,13,TRUE
12,3,5,0.52,0.39132099898654,0.93034755666239,0.32,0.24,0.1872,20,0.0035,TRUE,13,TRUE
12,4,14,0.371428571428571,0.329672544588133,0.912268742789155,0.32,0.24,0.168367346938776,20,0.0035,TRUE,13,TRUE
12,5,17,0.294117647058824,0.236501797119906,0.863445489556954,0.32,0.24,0.174809688581315,20,0.0035,TRUE,13,TRUE
12,6,9,0.644444444444444,1.2025087171903,1.36953054680138,0.32,0.28,0.148148148148148,20,0.0035,TRUE,13,TRUE
12,7,11,0.709090909090909,0.589389470691276,1.0480438673341,0.36,0.28,0.139504132231405,20,0.0035,TRUE,13,TRUE
12,8,11,0.672727272727273,0.255440712287335,0.860734676679231,0.4,0.28,0.129917355371901,20,0.0035,TRUE,13,TRUE
12,9,18,0.655555555555556,0.722919490149555,1.13315020563666,0.4,0.28,0.120432098765432,20,0.0035,TRUE,13,TRUE
12,10,23,0.652173913043478,0.66609016773768,1.11415846669514,0.4,0.28,0.114253308128544,20,0.0035,TRUE,13,TRUE
12,11,24,0.633333333333333,0.445294907025324,0.973862414351924,0.4,0.28,0.114930555555556,20,0.0035,TRUE,13,TRUE
12,12,19,0.642105263157895,0.807564933442278,1.1702535215496,0.4,0.28,0.0981717451523546,20,0.0035,TRUE,13,TRUE
12,13,7,0.542857142857143,0.557936033113369,1.02978477899168,0.48,0.32,0.073469387755102,20,0.0035,TRUE,13,TRUE
13,1,20,-0.03,-0.359047164590137,0.630801633906603,0.24,0.24,0.2494,20,0.0035,TRUE,3,TRUE
13,2,6,-0.166666666666667,-0.217491897317015,0.648279271477445,0.24,0.24,0.238333333333333,20,0.0035,TRUE,3,TRUE
13,3,3,0.133333333333333,0.40979757689394,0.939314758818504,0.24,0.24,0.22,20,0.0035,TRUE,3,TRUE
14,1,20,-0.14,-0.0895318435182896,0.716262826307238,0.24,0.24,0.25325,20,0.0035,TRUE,2,TRUE
14,2,5,0.32,0.579501433078561,1.06650606574449,0.24,0.24,0.2392,20,0.0035,TRUE,2,TRUE
15,1,20,0.1,0.289649255085961,0.885790569907071,0.24,0.24,0.25615,20,0.0035,TRUE,3,TRUE
15,2,19,-0.126315789473684,-0.427906587385897,0.566035961997889,0.24,0.24,0.251246537396122,20,0.0035,TRUE,3,TRUE
15,3,4,-0.15,0.120736019774435,0.789666636965642,0.24,0.24,0.22375,20,0.0035,TRUE,3,TRUE
16,1,20,-2.75590639718659e-18,-0.0158169569817788,0.730828257884973,0.24,0.24,0.2501,20,0.0035,TRUE,6,TRUE
16,2,16,-0.1125,-0.407011143855179,0.558485726314624,0.24,0.24,0.243984375,20,0.0035,TRUE,6,TRUE
16,3,8,0.075,0.285373595329141,0.900891112402225,0.24,0.24,0.2284375,20,0.0035,TRUE,6,TRUE
16,4,10,0.28,0.205501541608683,0.856021236430428,0.24,0.24,0.2176,20,0.0035,TRUE,6,TRUE
16,5,10,0.3,0.344315227845681,0.919484530239915,0.28,0.24,0.1966,20,0.0035,TRUE,6,TRUE
16,6,7,0.771428571428571,0.937775796648977,1.26094580807439,0.32,0.24,0.170612244897959,20,0.0035,TRUE,6,TRUE
17,1,20,0.28,0.178458587071348,0.837030935407083,0.24,0.24,0.2566,20,0.0035,TRUE,6,TRUE
17,2,23,0.147826086956522,0.0909148291628863,0.803267333544302,0.24,0.24,0.255576559546314,20,0.0035,TRUE,6,TRUE
17,3,9,0.244444444444444,0.2096919013868,0.857650203813661,0.24,0.24,0.245432098765432,20,0.0035,TRUE,6,TRUE
17,4,4,0.05,0.260396109673616,0.857620704397448,0.28,0.24,0.18875,20,0.0035,TRUE,6,TRUE
