"n.pop0","gen","gbar","zbar","wbar","n","gvar_win","gvar_amg","gvar_var","zvar_win","zvar_amg","zvar_var","wvar_win","wvar_amg","wvar_var"
20,5,0.319211124007414,0.31558589829488,0.919487404849273,1300,0.109081909297267,0.157610657286364,0.00236553426184151,0.213830599390455,0.172274317546426,0.0155125684473183,0.0510039588391348,0.0445077978784865,0.000503798316669548
20,6,0.454832823118597,0.452627535642226,0.991047872918504,1058,0.127841953622649,0.151060885228811,0.00460396451902092,0.288145034369011,0.166229378011836,0.0305430906277651,0.0672210925025935,0.0426593548445352,0.00107156563617171
20,7,0.572351155221059,0.573827822925515,1.05332948788229,869,0.128300358158619,0.120286484030605,0.0094649145238262,0.279670758668628,0.152199729140557,0.115157142772126,0.0635995274652062,0.0378666224242288,0.00214620063208466
20,8,0.65181581741364,0.659287335688988,1.09709158820463,772,0.155009907926273,0.112725881778556,0.0353499835941463,0.264075866917417,0.11775989377251,0.084247254592957,0.0735753704279011,0.0332820801793034,0.00622643086889525
20,9,0.735112960912487,0.74206035804533,1.1411372150689,684,0.126740502984748,0.0980946198111897,0.00623456685784525,0.172285594078058,0.128483371660351,0.0152585230798476,0.0471856474765266,0.0374003871464749,0.000816752683698572
60,1,-0.0257497942386831,-0.0237050146803999,0.75401558928245,2025,0.00273158966373781,0.202607905055749,9.24488834798449e-07,0.0107882638195927,0.203098392516175,3.43659768113607e-06,0.00253508780829437,0.048824806838393,4.43251903671176e-07
60,10,0.686030826480016,0.682195487685735,1.10886151800984,914,0.110956211391161,0.100487873832442,0.00516789216140277,0.214634067804882,0.09424454464739,0.0297729918445553,0.0595975078373241,0.0263332779937303,0.00188955465047436
60,11,0.752569903577579,0.769534801292259,1.15585957250533,848,0.111906561097994,0.112535000261117,0.00317705220102746,0.231658275944015,0.0784536198414669,0.0254457498253571,0.0646660209096573,0.0223186922761949,0.00181290717925764
60,12,0.813553942229081,0.828712541278117,1.18697812691108,789,0.116620117344131,0.0793488033341605,0.00558531186803145,0.1782603239685,0.0829954663762735,0.0125364082651707,0.0522600594889843,0.0237662334014675,0.000989981719340843
60,13,0.869167582797359,0.872444794874624,1.21042872346831,744,0.114830291240163,0.0661412963503264,0.00831012959091944,0.167212766228854,0.101250941405285,0.0183589068802645,0.0478995365884468,0.0282317811039336,0.00141871800021202
60,14,0.900616196193799,0.904202404401962,1.2261016340333,719,0.127868543932081,0.0749620842946002,0.00847002459970509,0.188551739768266,0.0722781203090857,0.02168061679629,0.0524770362238121,0.0212107666456433,0.00144693312569522
60,15,0.947792664956987,0.959809804829881,1.25620736857314,691,0.118707227043352,0.0757523468351534,0.00950248882965608,0.147841337532217,0.079757097829608,0.0130957517124751,0.0436785577760564,0.0235438112854438,0.00120388825971946
60,2,0.0308530380231656,0.0270968069348618,0.777606426589961,2025,0.0106058609313337,0.188701143005613,2.76425237804455e-05,0.0261399638521511,0.191305702899069,8.19741613797032e-05,0.00588993337731126,0.0469901649103218,1.84991756619831e-06
60,3,0.08114958799724,0.0843781351203887,0.803690107081595,2025,0.0226641632288185,0.177839451507614,0.00013671892193668,0.0538774482560703,0.175063631650679,0.000839420781880311,0.0119298776452975,0.0443491030851189,2.2225262520741e-05
60,4,0.137615229796929,0.139764951835837,0.830284857088526,1980,0.0479628032186562,0.170666661841033,0.000856541853459543,0.110357189446863,0.165487605598764,0.00508156386443108,0.0252009304140301,0.0430935330393002,0.000221962231560637
60,5,0.207599420845289,0.208463877746723,0.865358314599365,1815,0.0688303802884788,0.166445139780843,0.002007384542924,0.160775769490627,0.16993774605517,0.0136906948102085,0.0366511285652332,0.0443119528894032,0.000551938111249333
60,6,0.318560077771,0.32090765904049,0.921843867395428,1565,0.0916941861505527,0.151994977397376,0.00330445607824935,0.206196429825996,0.159235513497705,0.0245894747876519,0.0492755317523306,0.0420329112762756,0.00106741275110201
60,7,0.440801147656912,0.425991471389316,0.975645912483282,1316,0.0988869313934651,0.134196917696854,0.00278175953373619,0.218728728754988,0.168629430052429,0.0202907053942478,0.050518255195616,0.044024358683381,0.000759116605254911
60,8,0.537710498498158,0.549313833703124,1.03864851406886,1128,0.110106700508683,0.120705039671924,0.00477080875116222,0.20232221482681,0.123382753215724,0.0241612183690155,0.0525371461584993,0.034682622551767,0.00135399362968897
60,9,0.615119732064995,0.614622402935772,1.07370751198797,1009,0.117065523834465,0.111076347021874,0.00600472495882134,0.217500803137496,0.112438901376511,0.0140728340610925,0.0580312933568682,0.0314133670159994,0.000863625888914517
