"n.pop0","gen","ext.gen","gbar","gvar","zbar","zvar","wbar","wvar","n","gvar_win","gvar_amg","gvar_var","zvar_win","zvar_amg","zvar_var","wvar_win","wvar_amg","wvar_var"
20,8,8,0.222370434117422,0.236044015782541,0.160589159714055,0.542960049772272,0.828956935060238,0.141803606286357,83,0.145245345505045,0.211715582233904,0.0204610913489177,0.320743637506912,0.444932365065339,0.165200413316528,0.0756966669445952,0.124460927470473,0.00525547198108773
20,8,9,0.209898101898102,0.137113893729327,0.251428564610509,0.262002419923395,0.878713123107465,0.0723717360861954,65,0.162935326446097,0.0830038315352029,0.0317538705895613,0.252573752202875,0.175057785341681,0.0382570801779392,0.0672562694416517,0.0531519695996409,0.00344207097721696
20,8,10,0.256795442652586,0.0902025522232933,0.370940312962912,0.200590333860594,0.93969859366448,0.0591834967840963,35,0.0906982151782767,0.0469894664289732,0.00226683984886583,0.256814707533266,0.0713593661935133,0.0808150813582703,0.076360941380215,0.02080091026223,0.00764086483351286
20,8,11,0.196209603428855,0.096322027000283,0.253940144608558,0.152983262834825,0.874918179303835,0.0428479986292918,33,0.0700429195338086,0.0855295293579676,0.00684097709644006,0.153029346432129,0.119010730624929,0.0206453640495515,0.0415262397582449,0.035024685845526,0.00160591750128427
20,8,12,0.382957211870255,0.131469373540432,0.363675986579694,0.173562761115107,0.939550466616806,0.0585744693860915,23,0.0469854118037379,0.178487911444549,0.00303679516389774,0.0853370251830014,0.169882426394842,0.0102373953622938,0.027730183070955,0.0559988345859063,0.00107280611013122
20,8,13,0.338967714334991,0.0728152861295942,0.382871255191575,0.128897160298172,0.948549152538903,0.0388892824166751,20,0.039589844894604,0.0817559416704697,0.000465121449836215,0.130328806159697,0.0710058274410305,0.0255843864133014,0.0386461827596707,0.0219418503731224,0.00222768412806326
20,8,14,0.320167233560091,0.0328171279770557,0.31392362192484,0.0489939738042203,0.903553974639419,0.0131959464441715,14,0.00507392290249433,0.0337237647043947,1.34211337868481e-05,0.0438535074972362,0.0413783625671019,0.00272809110073936,0.0147232980321234,0.0110560354515536,0.000244111398247757
20,8,15,0.817379933938613,0.098739139407245,0.824442936497476,0.118398471415537,1.18483963467328,0.0345255234961945,571,0.0626861640824741,0.0891787883174811,0.00114269408481177,0.088720323737267,0.0974318610302433,0.00210726239707655,0.0263092492639348,0.0282487786829362,0.000206893259667934
20,9,9,0.228410256410256,0.179247606837607,0.168215002016926,0.500582040636083,0.834556414755105,0.121894381389651,65,0.188145578120137,0.126074072241131,0.0283866470582183,0.719279803240291,0.213319910675968,0.926312156228789,0.173333216595478,0.0571990924209727,0.0581415465365112
20,9,10,0.269047619047619,0.0812725338283462,0.168674210937648,0.188934385677186,0.836689880696413,0.0486180865597454,35,0.0882230749885688,0.0287581688721187,0.00567972678784852,0.195811605658476,0.128242339680838,0.0517321935740986,0.0538790380985414,0.0324071128513728,0.00417005602684714
20,9,11,0.206715321715322,0.097083527632401,0.212053863019529,0.120327975872561,0.850931983108499,0.0345026152857114,33,0.0717164989895867,0.0794998407921429,0.00356377477424932,0.0411907818566627,0.134435665912885,0.00207139611481464,0.014083699293254,0.0377531326516711,0.000216733821753122
20,9,12,0.362165277178065,0.140152199917067,0.338461025764505,0.15539536647539,0.926197062845421,0.047713246542855,23,0.0850881543636739,0.170355555110287,0.00504772843988948,0.108239061679144,0.130754102474836,0.0117944169991861,0.0321823740869837,0.0417916694513299,0.000905498757508782
