"n.pop0","extinct","gen","gbar","gvar","zbar","zvar","wbar","wvar","n"
20,TRUE,10,0.40307215208612,0.441585356870645,0.35939115604538,0.698691593696608,0.942641622225749,0.163535772115985,129
20,TRUE,11,0.456668146668147,0.360616442469331,0.412754690812585,0.484329909095918,0.97890981545328,0.129551902974652,78
20,TRUE,12,0.432200897867565,0.405019832216667,0.412654150838406,0.464317899989692,0.972264196530658,0.122340197004489,45
20,TRUE,13,0.431695767195767,0.261244003302896,0.380583047685043,0.430746776530897,0.943440720842139,0.122378348246219,30
20,TRUE,14,0.416444444444444,0.411992804232804,0.1787937719491,0.539925915345194,0.842978354290737,0.160757858012402,15
60,FALSE,1,0.0077299880525687,0.00753805974572611,0.00748793461920962,0.0155867200792154,0.777028139239967,0.00357674385641805,1674
60,FALSE,2,0.165620926806353,0.0235206146227881,0.171039815901449,0.0347051572726709,0.853342642717824,0.00833932132017603,1674
60,FALSE,3,0.308119215420267,0.0405109819342681,0.308171685451065,0.0535873096434583,0.920819292704102,0.0133842728114351,1674
60,FALSE,4,0.440455044859697,0.0569080108582546,0.444913769510836,0.0708634162501192,0.988201216721154,0.0180427321020332,1674
60,FALSE,5,0.568021139418785,0.0691054313179873,0.573008072118989,0.0855740555984864,1.0525971902971,0.0219089605426816,1674
60,FALSE,6,0.680187471996378,0.08166651080753,0.684308500894356,0.0966377858246308,1.11016999982148,0.0250379548101635,1674
60,FALSE,7,0.784252336155217,0.0928241678985517,0.783493857875881,0.108338678656664,1.15985236046061,0.0277479125772267,1674
60,FALSE,8,0.872872360511047,0.105650710388833,0.871263162573809,0.126347629869597,1.20193525266921,0.0319786858493377,1674
60,FALSE,9,0.953295850653329,0.113174391987275,0.955741521102365,0.126919229046167,1.24461562517315,0.0313233627936138,1674
60,FALSE,10,1.02580428667932,0.116165539441903,1.0271213127894,0.128576547917615,1.27966296861084,0.0310404842735841,1674
60,FALSE,11,1.09543336595291,0.121262327072826,1.09832486037067,0.130042133036304,1.31405092795745,0.0314293482004816,1674
60,FALSE,12,1.16159865928985,0.124601050748634,1.16167048842295,0.133210779701755,1.34483113760747,0.0309899639729035,1674
60,FALSE,13,1.22317295459777,0.125237537134559,1.22282960744562,0.136159808087327,1.37287113407902,0.0312391105509908,1674
60,FALSE,14,1.27844024749073,0.128941508935061,1.27536787616942,0.138835887867443,1.39756724995493,0.0309630346096349,1674
60,FALSE,15,1.33392345355982,0.133462437573663,1.33408355738277,0.14369172818735,1.42374562619894,0.0319263274171248,1674
60,TRUE,1,-0.0364387464387464,0.00753804314204314,-0.0446468197131708,0.0142245501601078,0.751735277809012,0.00323722474002443,351
60,TRUE,2,0.0519355504619354,0.0198669500145394,0.0495686761087129,0.0337654617565379,0.792814025116465,0.00787805237408445,351
60,TRUE,3,0.102187590060132,0.0365297807080735,0.0970282559010089,0.0593000080914665,0.815666925718885,0.0138668099578332,351
60,TRUE,4,0.164406951196785,0.071328665016839,0.161303385699135,0.105758582143186,0.847350319151996,0.0256388004394397,350
60,TRUE,5,0.20378977614107,0.124889780777808,0.183750195847957,0.166910773805534,0.858121682239134,0.0385439064172298,345
60,TRUE,6,0.2501169042502,0.171733185354229,0.238823532359843,0.257637462712824,0.886761365386144,0.0633534678156435,323
60,TRUE,7,0.302411273594434,0.224527835227572,0.276777199901915,0.332049019147044,0.897007213308975,0.0771407277022489,278
60,TRUE,8,0.325915395148637,0.232644890593635,0.304498418745807,0.305010260721554,0.915282119077527,0.0808853899065509,226
60,TRUE,9,0.345003721092535,0.283242339825587,0.321905803707315,0.449778046229061,0.925064863065922,0.108596808684015,179
60,TRUE,10,0.382130747123454,0.328769293955737,0.370166800097921,0.502762770870534,0.953834813334103,0.117156584750637,128
60,TRUE,11,0.384811207133777,0.367674267584942,0.28534836870331,0.441786502096084,0.90377423203784,0.106048551930025,96
