"gen","bottleneck","n.pop0","gbar","gvar","zbar","zvar","wbar","wvar","n.trials"
5,FALSE,60,0.560463846922277,0.484911438808499,0.563184727377694,0.732534834900839,1.12547755680202,0.212315079316164,2013
5,TRUE,20,0.625905612663799,0.294234289698193,0.626831246045228,0.539585317854957,1.16232242747172,0.169605958755172,1469
5,TRUE,60,0.58918991386341,0.292724004118492,0.59179485447365,0.545444246380434,1.14260528547812,0.17104312503407,1868
6,FALSE,20,0.773807501575386,0.510945256493686,0.772669606054936,0.764263355403234,1.23554060914541,0.215188217199226,1617
6,FALSE,60,0.68977822488454,0.482103683073214,0.687963294508912,0.73408689974058,1.19168580055293,0.210996922949633,2009
6,TRUE,20,0.741293532338308,0.274072530824935,0.742343580981911,0.521032496993704,1.22619177066059,0.163239275806305,1265
6,TRUE,60,0.694858367055463,0.267529180618146,0.695013659058876,0.521305591541669,1.20020848940397,0.164397636660922,1728
7,FALSE,20,0.913704429984847,0.496627783299527,0.91679418429655,0.755395968735807,1.31033850785193,0.205716597647988,1489
7,FALSE,60,0.808823032110303,0.476850976913098,0.809022471801612,0.726828033174827,1.2556296533305,0.20553017134217,1992
7,TRUE,20,0.838199755100155,0.256026997941819,0.839105297741262,0.508442180089659,1.28003872888051,0.157344267824529,1095
7,TRUE,60,0.788624250499667,0.250302390310919,0.788851001367994,0.500687048751083,1.25246362793636,0.157346026264672,1579
8,FALSE,20,1.04246523734502,0.481664777882308,1.04409940526989,0.725822425631718,1.37708432824924,0.192319215273738,1381
8,FALSE,60,0.92097234524161,0.47803520031771,0.921530536107289,0.728240392519546,1.31428843355406,0.200453383722299,1980
8,TRUE,20,0.922384861252361,0.24715559304832,0.92294837171065,0.493708616250291,1.3256962175246,0.149767483788956,993
8,TRUE,60,0.86818640333413,0.237505305710061,0.867696640893942,0.487139071939339,1.29674125753655,0.15185860472125,1444
9,FALSE,20,1.1605909603105,0.47142741372344,1.1596292816669,0.719185193494522,1.43365685217711,0.180297647256685,1301
9,FALSE,60,1.02964802185372,0.472499320847591,1.03086958105276,0.724119802360349,1.36988425238043,0.192033823637917,1954
9,TRUE,20,0.995097634195379,0.240764762490518,0.994817349616511,0.490378844396234,1.36498129768153,0.145728205154853,915
9,TRUE,60,0.940014373716632,0.229508857641856,0.939406970908132,0.480164584427983,1.33607560402668,0.146662934826393,1332
10,FALSE,20,1.26348355197298,0.456548514503914,1.26395695341185,0.706282259301138,1.48446599968294,0.167891896955974,1254
10,FALSE,60,1.12878306078858,0.462596473759111,1.12711077535065,0.713736801919347,1.41828690292597,0.182083324312326,1933
10,TRUE,20,1.06141093082663,0.235271066604648,1.0589160312914,0.483115892564808,1.3998153510927,0.139854237364802,866
10,TRUE,60,1.00090947180676,0.222986680065123,1.0016730438167,0.471743812617021,1.37029681225883,0.141212394114814,1222
11,FALSE,20,1.35469832431828,0.443949864994157,1.35408438258198,0.69221499074265,1.52704128706141,0.15614607612917,1218
11,FALSE,60,1.21798266911145,0.453286548858304,1.21753786188147,0.701197135936961,1.46298972285285,0.171634721913355,1918
11,TRUE,20,1.12444219506905,0.233143401480143,1.12586370241753,0.483826089644715,1.43476247947418,0.135021291287551,824
11,TRUE,60,1.05746997386835,0.219701077505269,1.05733306405269,0.469557077625473,1.40023981961885,0.137212109822348,1165
12,FALSE,20,1.43686849328858,0.427490761206663,1.43791803849322,0.67772052916716,1.56541435459164,0.144138762572979,1193
12,FALSE,60,1.30108928636504,0.445220737697313,1.3024967212469,0.694002626241793,1.50319451751895,0.161563194928254,1895
12,TRUE,20,1.18080999089898,0.230854874579366,1.1802874610924,0.480382450602869,1.46303549127275,0.130182145488486,789
12,TRUE,60,1.11061398264108,0.217581884062833,1.11048980565677,0.468238441205954,1.4283599468639,0.133332159380368,1112
13,FALSE,20,1.51204504204171,0.417776236062615,1.51164968883345,0.669084555698816,1.59701897029825,0.13374458847123,1165
13,FALSE,60,1.37766997250708,0.437998730305658,1.37739973877927,0.687462044157764,1.53761965813264,0.15231778096105,1880
13,TRUE,20,1.23520910761409,0.231446565603282,1.23401923977595,0.479476974900234,1.49042303879801,0.125599616543743,761
13,TRUE,60,1.16069795528592,0.21664040804006,1.16049605476263,0.465786129521042,1.45458765597374,0.12920853664863,1065
14,FALSE,20,1.57851038604032,0.406333033971844,1.57966745948754,0.656346449013953,1.62626786965462,0.123867745028501,1147
14,FALSE,60,1.44768064721185,0.429116495226295,1.44791025898465,0.679729744482285,1.56907099906836,0.14299847448403,1868
14,TRUE,20,1.28807736613281,0.233573974259305,1.28726809276786,0.483314570343667,1.51629013879253,0.121561499932378,741
14,TRUE,60,1.20872695104297,0.216126679959056,1.20816052700677,0.466344591334525,1.47893521297489,0.125434958443991,1037
15,FALSE,20,1.63931863441714,0.396159565551789,1.63994123622653,0.645616197977037,1.65080311503943,0.114879873369397,1137
15,FALSE,60,1.51323395168128,0.423530737579908,1.5136267915915,0.67341841697978,1.59732162681788,0.134263093443903,1862
15,TRUE,20,1.33707314093755,0.234166694096023,1.33677744467505,0.484932506264726,1.54011593688491,0.117302560172202,725
15,TRUE,60,1.25406115738969,0.216212122368329,1.25373825757837,0.466621673912076,1.50195560595562,0.121824264762328,1023
