"n.pop0","bottleneck","gen","nbar","nvar","pext","sig.e"
20,FALSE,3,8.28819444444444,30.0802777777777,0.0347222222222222,0
20,FALSE,4,6.48611111111111,39.895458937198,0.175347222222222,0
20,FALSE,5,5.65104166666667,58.3284510869564,0.361111111111111,0
20,FALSE,6,5.26215277777778,92.5172433574875,0.501736111111111,0
20,FALSE,7,5.37673611111111,149.501301328503,0.607638888888889,0
20,FALSE,8,6.13715277777778,263.624634661837,0.684027777777778,0
20,FALSE,9,8.01736111111111,570.378828502417,0.725694444444444,0
20,FALSE,10,11.1961805555556,1406.10579408213,0.756944444444444,0
20,FALSE,11,16.4097222222222,3786.87531400964,0.774305555555556,0
20,FALSE,12,25.4704861111111,10650.3886926329,0.789930555555556,0
20,FALSE,13,40.0399305555556,29824.7827506039,0.795138888888889,0
20,FALSE,14,64.6857638888889,88656.6089100243,0.802083333333333,0
20,FALSE,15,107.21875,288152.105108696,0.807291666666667,0
50,FALSE,1,50,0,0,0
50,FALSE,2,30.6232638888889,60.8786926328502,0,0
50,FALSE,3,21.6267361111111,78.5543448067633,0,0
50,FALSE,4,16.5989583333333,101.252798913044,0.00347222222222221,0
50,FALSE,5,14.5711805555556,135.459272342995,0.0520833333333334,0
50,FALSE,6,13.8940972222222,199.315721618357,0.119791666666667,0
50,FALSE,7,14.1996527777778,308.521808574878,0.208333333333333,0
50,FALSE,8,16.6371527777778,632.106373792272,0.310763888888889,0
50,FALSE,9,21.0902777777778,1298.28400966183,0.381944444444444,0
50,FALSE,10,28.6440972222222,3141.78093900965,0.428819444444444,0
50,FALSE,11,40.8854166666667,7286.5364130435,0.461805555555556,0
50,FALSE,12,60.7951388888889,19068.2605676329,0.489583333333333,0
50,FALSE,13,94.0486111111111,50347.7298067634,0.513888888888889,0
50,FALSE,14,148.260416666667,139705.886847826,0.53125,0
50,FALSE,15,241.769097222222,409364.028330315,0.539930555555556,0
20,FALSE,1,20,0,0,0.2
20,FALSE,2,12.3350694444444,24.8562288647343,0,0.2
20,FALSE,3,8.89583333333333,31.2865217391305,0.0381944444444444,0.2
20,FALSE,4,6.64930555555556,38.189842995169,0.157986111111111,0.2
20,FALSE,5,5.83680555555556,55.2046256038646,0.359375,0.2
20,FALSE,6,5.65625,81.878152173913,0.484375,0.2
20,FALSE,7,6.48263888888889,157.606654589373,0.576388888888889,0.2
20,FALSE,8,7.67013888888889,273.758828502416,0.640625,0.2
20,FALSE,9,10.1475694444444,573.061663647343,0.685763888888889,0.2
20,FALSE,10,13.9409722222222,1294.22259661836,0.708333333333333,0.2
