"trial","gen","sigma.a"
20,10,0.379902965136291
20,11,0.375658642018508
20,12,0.373756595913509
20,13,0.372636335802469
20,14,0.371072821000674
20,15,0.370223019303427
21,1,0.4905625
21,2,0.45078125
21,3,0.369444444444444
21,4,0.288888888888889
21,5,0.2875
22,1,0.4891875
22,2,0.467888888888889
22,3,0.461686390532544
22,4,0.43925
22,5,0.422916666666667
22,6,0.37421875
23,1,0.4861875
23,2,0.456875
23,3,0.36875
23,4,0.359375
23,5,0.346875
23,6,0.3
24,1,0.48934375
24,2,0.482492195629553
24,3,0.463570601851852
24,4,0.459442862228551
24,5,0.44927662037037
24,6,0.443517561983471
24,7,0.435918130165289
24,8,0.431995
24,9,0.432293468858131
24,10,0.431669846224997
24,11,0.429026062776888
24,12,0.428474135292317
24,13,0.420515763697582
24,14,0.418522171086274
24,15,0.420026036779884
25,1,0.4861875
25,2,0.470947265625
25,3,0.452437641723356
25,4,0.434336419753086
25,5,0.39794921875
25,6,0.38840830449827
25,7,0.368285123966942
25,8,0.3708
25,9,0.362846260387812
25,10,0.365745
25,11,0.348398006407974
25,12,0.348909023668639
25,13,0.34345999405116
25,14,0.343093026432621
25,15,0.344627851140456
26,1,0.48609375
26,2,0.480787037037037
26,3,0.365277777777778
26,4,0.3046875
26,5,0.304166666666667
26,6,0.28046875
26,7,0.25625
26,8,0.225
27,1,0.486875
27,2,0.468896484375
27,3,0.426479289940828
27,4,0.402777777777778
27,5,0.2625
28,1,0.48875
28,2,0.465310650887574
28,3,0.446875
28,4,0.4421875
28,5,0.419896193771626
28,6,0.398828125
28,7,0.315625
29,1,0.48784375
29,2,0.459171597633136
29,3,0.431481481481481
29,4,0.3515625
29,5,0.324744897959184
29,6,0.280555555555556
30,1,0.4924375
30,2,0.412847222222222
30,3,0.3195
30,4,0.303316326530612
30,5,0.271952908587258
30,6,0.261527423469388
30,7,0.261882716049383
30,8,0.256052812071331
30,9,0.231884765625
30,10,0.216724376731302
30,11,0.20775462962963
30,12,0.201627066115702
30,13,0.19014
30,14,0.189827806122449
30,15,0.182426303854875
31,1,0.48253125
31,2,0.465856481481481
31,3,0.44078125
31,4,0.425540657439446
31,5,0.41539069232979
31,6,0.411822485207101
31,7,0.411145546372819
31,8,0.399752904783462
31,9,0.395305283250071
31,10,0.394983474843476
31,11,0.386898706480771
31,12,0.383542391030486
31,13,0.380555169783035
31,14,0.382536931123251
31,15,0.380557895103568
32,1,0.4909375
32,2,0.4610625
32,3,0.420674740484429
32,4,0.42716
32,5,0.407426303854875
32,6,0.392274305555556
32,7,0.368071831597222
32,8,0.362869344413666
32,9,0.353821499013807
32,10,0.354136535812672
32,11,0.351358258069033
32,12,0.350893687277746
32,13,0.352559642359843
32,14,0.351019365850138
32,15,0.350551616652578
33,1,0.49034375
33,2,0.478772112382934
33,3,0.466673469387755
33,4,0.45198
33,5,0.430179398148148
33,6,0.4226328125
33,7,0.415425531914894
33,8,0.41101652892562
33,9,0.405072132943755
33,10,0.392713647959184
33,11,0.394133846385997
33,12,0.391336908495685
33,13,0.387996954874853
33,14,0.385438963981447
