"trial","gen","n","g","z","w","sourcepops","n.pop0","alpha","evolve","block","repct"
18,5,22,-0.0363636363636364,0.173927355445567,0.829794652918594,3,100,0,TRUE,3,1
18,6,10,0.2,0.0433118418711422,0.753749574934542,3,100,0,TRUE,3,1
19,1,20,-0.2,-0.239562773627626,0.61586662254565,3,20,0,FALSE,3,1
19,2,21,-0.123809523809524,-0.205174332551221,0.671262987175187,3,20,0,FALSE,3,1
19,3,16,0.15,-0.0515617915623766,0.753211878402843,3,20,0,FALSE,3,1
19,4,13,0.0153846153846154,0.111801554960847,0.830548452441721,3,20,0,FALSE,3,1
19,5,10,0.1,0.252021814401733,0.914903808945454,3,20,0,FALSE,3,1
19,6,14,-0.171428571428571,0.124965799657628,0.818240413289771,3,20,0,FALSE,3,1
19,7,8,0.075,-0.177308179046984,0.699580468379991,3,20,0,FALSE,3,1
19,8,6,-0.266666666666667,-0.0962980298403971,0.666672715000128,3,20,0,FALSE,3,1
20,1,100,-0.292,-0.401358264278391,0.548542141054695,3,100,0,FALSE,3,1
20,2,57,-0.00350877192982456,0.0426706085945169,0.775091844737482,3,100,0,FALSE,3,1
20,3,48,-0.204166666666667,-0.263313446218317,0.633816064324047,3,100,0,FALSE,3,1
20,4,27,-0.00740740740740741,-0.0433020590318227,0.730233885817508,3,100,0,FALSE,3,1
20,5,23,-0.0608695652173913,-0.133630731733301,0.668338016989047,3,100,0,FALSE,3,1
20,6,20,0.13,-0.0198834813025929,0.722399839121142,3,100,0,FALSE,3,1
20,7,27,-0.00740740740740742,-0.0543374444261845,0.702179364012985,3,100,0,FALSE,3,1
20,8,10,0.26,0.416142152578967,0.967223296602136,3,100,0,FALSE,3,1
20,9,12,-0.0666666666666667,-0.0561628661033638,0.765266226555113,3,100,0,FALSE,3,1
20,10,8,0.4,0.390716629999322,0.945161798663813,3,100,0,FALSE,3,1
20,11,6,-0.1,-0.232608528008867,0.662741207788093,3,100,0,FALSE,3,1
21,1,20,-0.01,0.0666227559267506,0.763926394888765,3,20,0.0035,TRUE,3,1
21,2,14,0.2,0.396795332759262,0.938816254093559,3,20,0.0035,TRUE,3,1
