"n.pop0","gen","ext.gen","p.fix.pos","p.fix.neg","vbar","vvar","n"
20,3,14,0.00137931034482759,0,0.439386704667938,0.000535957527481214,29
20,3,15,0.00754189944134078,0.00268156424581006,0.42729924269846,0.00101157716247428,1432
20,4,4,0.182396694214876,0.162314049586777,0.282625422048459,0.00605023914541726,484
20,4,5,0.0629424307036247,0.0523667377398721,0.359693237379706,0.00314311214154879,469
20,4,6,0.0402402402402402,0.0287087087087087,0.375734003051011,0.00203672720256739,333
20,4,7,0.0322433460076046,0.0247908745247148,0.384542621649139,0.00240283697998391,263
20,4,8,0.0296446700507614,0.0198984771573604,0.388867019077936,0.00205080093829271,197
20,4,9,0.031,0.0183333333333333,0.38975065821342,0.00205189772296421,120
20,4,10,0.0248421052631579,0.0155789473684211,0.398300796513526,0.00195298576477142,95
20,4,11,0.015609756097561,0.00829268292682927,0.402923953047259,0.00120887880224155,82
20,4,12,0.0223728813559322,0.00949152542372881,0.405038076136631,0.00176557514893769,59
20,4,13,0.0112820512820513,0.0102564102564103,0.401997051641401,0.00187323303261551,39
20,4,14,0.0303448275862069,0.0193103448275862,0.394495898382599,0.00311466090680549,29
20,4,15,0.024608938547486,0.00843575418994413,0.396837138664669,0.00184708369014848,1432
20,5,5,0.205714285714286,0.181066098081023,0.26298142375129,0.00624754362145935,469
20,5,6,0.104504504504505,0.0825225225225225,0.323115629072463,0.00327852110647211,333
20,5,7,0.0790874524714829,0.0541444866920152,0.342918879447296,0.00347706658257262,263
20,5,8,0.0680203045685279,0.0456852791878173,0.350564054509142,0.00316236923097225,197
20,5,9,0.0656666666666667,0.039,0.357546488254956,0.0030029155704913,120
20,5,10,0.0522105263157895,0.0303157894736842,0.366021724084919,0.0029049476376963,95
20,5,11,0.0326829268292683,0.0170731707317073,0.381842623834018,0.00151671761607932,82
20,5,12,0.0393220338983051,0.0210169491525424,0.375753388487411,0.0025948501431975,59
20,5,13,0.0451282051282051,0.0184615384615385,0.374511043263664,0.00235923453633319,39
20,5,14,0.0606896551724138,0.0331034482758621,0.358491222411033,0.00441636136173968,29
20,5,15,0.049608938547486,0.0169832402234637,0.369253487792587,0.00269270711984949,1432
20,6,6,0.25021021021021,0.215615615615616,0.230188310646247,0.00465589395228057,333
20,6,7,0.14615969581749,0.113307984790875,0.292325543822453,0.00493256548714707,263
20,6,8,0.11248730964467,0.0812182741116751,0.312423960692002,0.00377325544858899,197
20,6,9,0.107333333333333,0.067,0.320788189202514,0.00377960770159011,120
20,6,10,0.0846315789473684,0.0505263157894737,0.33555945945466,0.00361289666909398,95
20,6,11,0.0580487804878049,0.0336585365853659,0.353076333068929,0.0021562867513385,82
20,6,12,0.0698305084745763,0.0379661016949153,0.349755510943333,0.00299776803012511,59
20,6,13,0.0687179487179487,0.04,0.346200725139227,0.00397834516269655,39
20,6,14,0.0937931034482759,0.0455172413793103,0.329532397390293,0.00604669087734642,29
20,6,15,0.0737988826815642,0.0262011173184358,0.345659707590704,0.00328870931468786,1432
20,7,7,0.27148288973384,0.236501901140684,0.209703086825812,0.00574332546445312,263
20,7,8,0.177258883248731,0.129340101522843,0.270247287240572,0.0046617847705256,197
20,7,9,0.158666666666667,0.106333333333333,0.279960882758291,0.00414059879455632,120
20,7,10,0.130947368421053,0.0783157894736842,0.304420988556291,0.00398878685979437,95
20,7,11,0.0921951219512195,0.0570731707317073,0.32619082680132,0.00294980421923527,82
20,7,12,0.0996610169491525,0.0603389830508475,0.320972909169518,0.0034781626467697,59
20,7,13,0.0974358974358974,0.0594871794871795,0.318570655090336,0.00386064793952926,39
20,7,14,0.124137931034483,0.0606896551724138,0.30393586587426,0.00608046384056855,29
20,7,15,0.0979050279329609,0.0345251396648045,0.325950584224911,0.00379391519372672,1432
20,8,8,0.294822335025381,0.236548223350254,0.199340739397846,0.00591926411942765,197
20,8,9,0.232,0.156,0.238251206070531,0.00505289516870737,120
