"n.pop0","ext.gen","gen","gbar","gvar","zbar","zvar","wbar","wvar","n"
20,11,1,0.0447422680412371,0.0229793599656357,0.0689813179258365,0.0493906253603634,0.805166707051065,0.0112645726294256,97
20,11,2,0.119179829843061,0.035846333023149,0.149186359543929,0.0721419355547468,0.834236704801957,0.0163318696698803,97
20,11,3,0.192033927928543,0.0479415278656271,0.19979298799261,0.0954135241673502,0.855967972603196,0.0244432144823897,97
20,11,4,0.230691109570262,0.062278909497557,0.264809867503937,0.111345760531355,0.890489747899989,0.0305821055679379,97
20,11,5,0.290002852673211,0.069710061973928,0.272150430444499,0.119615762694333,0.890185762929814,0.0329251085539824,97
20,11,6,0.314204454816948,0.0779034419825834,0.351438709590389,0.150693516772801,0.936155606750157,0.0404698690310762,97
20,11,7,0.319172807958635,0.0833345010645601,0.326244608346481,0.112346783037884,0.922384103506399,0.0313033682062704,97
20,11,8,0.34336873092031,0.0998948164994583,0.35687127737357,0.174428632794392,0.938245102472783,0.0483652914398321,97
20,11,9,0.33883796063503,0.135869003538394,0.32687863517664,0.271064564688672,0.921914152132675,0.0728387957511791,97
20,11,10,0.323834618989258,0.166342540041852,0.273519132679008,0.244020297485143,0.887550969769017,0.0706935556982117,97
20,11,11,0.313078055964654,0.228573762574904,0.286147896949258,0.483046500003837,0.896394325072042,0.133514678825087,97
20,12,1,0.0271666666666667,0.0276579378531073,0.0209914414048825,0.0664139052870288,0.779056955680558,0.014230602761051,60
20,12,2,0.13497868791845,0.0358920412447815,0.164323058345009,0.0562996131091972,0.835329566320391,0.0142655532437297,60
20,12,3,0.179648947925937,0.0642502908615447,0.188425733094593,0.0942123421967739,0.851408822194141,0.0241043789286379,60
20,12,4,0.266537053361952,0.0826890778878006,0.257169455534144,0.119015428169292,0.888093247728581,0.0325262765774515,60
20,12,5,0.330742059597323,0.0842836495147311,0.311865443540935,0.109216214320122,0.911913767386124,0.0297150635124561,60
20,12,6,0.361691416256314,0.101397703676156,0.328785727279473,0.144039802730813,0.926167687779967,0.0394205997970355,60
20,12,7,0.392644070352085,0.0992588211071818,0.388577536826283,0.154172471697389,0.950751296946173,0.0441483926187435,60
20,12,8,0.375027783047133,0.115939063152111,0.428261012776395,0.173299449774364,0.978326170562651,0.0466081486511129,60
20,12,9,0.387277182782045,0.127192429679246,0.505204922783439,0.172554903073961,1.0164623917027,0.0497698637988018,60
20,12,10,0.386166361416361,0.143213002252313,0.417677053696335,0.182584974791976,0.965810836868846,0.0517978487363107,60
20,12,11,0.407429031208443,0.168113782683088,0.412400668526659,0.268822751706347,0.964046187141395,0.0801446390450114,60
20,12,12,0.400062169312169,0.247751742976643,0.316467905531991,0.604770060570837,0.920237651084825,0.171039839483433,60
20,13,1,0.0372881355932203,0.0180338983050848,0.0421999859415277,0.0499961462274113,0.797295975134064,0.0115416608000834,59
20,13,2,0.136814441188125,0.0332479233099927,0.158113230480391,0.0810823013206594,0.84097384840049,0.0202472974710745,59
20,13,3,0.23502112803615,0.0395206463415128,0.254948584784511,0.0700800813724928,0.887119962055201,0.0182947272447419,59
20,13,4,0.281936500289187,0.0513580090482825,0.311155915454939,0.0791625985522914,0.911650715342304,0.0201576858573904,59
20,13,5,0.344668508879373,0.0555329795152381,0.371724375547774,0.0723365366457724,0.944596172135281,0.0216632966970073,59
20,13,6,0.370404067057647,0.0557445813869718,0.409635669029345,0.0893041134948619,0.964472916084911,0.0263071201294992,59
20,13,7,0.402906337714856,0.0670486071339734,0.472811918038185,0.0953599166793694,0.995046366489768,0.0267666545581795,59
20,13,8,0.437103482714833,0.0841412173707557,0.427100289666492,0.124778571938134,0.974687051053486,0.0370314807527096,59
20,13,9,0.424628545773426,0.130353811769398,0.470834807340027,0.158026371221626,0.99680401036018,0.0449875219946869,59
20,13,10,0.441206787023941,0.129958754347282,0.472133572881686,0.187252158791011,0.994784008403398,0.0518984964112222,59
20,13,11,0.4437889589086,0.138204100407058,0.408429590753773,0.185210783287667,0.966171780789984,0.0506151255577781,59
20,13,12,0.445773407383577,0.180610219633829,0.329257436702395,0.273168566425152,0.91904507776102,0.0772608635711231,59
20,13,13,0.454632768361582,0.223087362815767,0.436305895420893,0.541437676736534,0.989614302517904,0.142136763750548,59
20,14,1,0.0223255813953488,0.0222897009966777,0.000897187472951274,0.0405312649902252,0.769309108123553,0.00991106792170779,43
20,14,2,0.136244471103172,0.0408296189103454,0.150194628039148,0.0742186845542873,0.826167704060687,0.0200549805289223,43
20,14,3,0.171117943629096,0.0577755554136262,0.124291248455296,0.0893241471001427,0.819799728685164,0.0204542542355165,43
20,14,4,0.262304830752163,0.0413969497632995,0.320814216764194,0.118509598664044,0.918470737693594,0.0322793555353332,43
20,14,5,0.359229490051227,0.0464154723640015,0.365886316643815,0.11631598424138,0.937985845381367,0.0326093865367056,43
20,14,6,0.384466405571221,0.0425649197318867,0.430584448494409,0.093632835890993,0.981394737184107,0.0252015754257437,43
20,14,7,0.383534675958357,0.0640038212428205,0.42028431882786,0.088842998367826,0.973805004868092,0.0254427539135265,43
20,14,8,0.441128306107982,0.0815827433708038,0.474490492976673,0.128106301316208,0.992408661860564,0.036489676512868,43
20,14,9,0.442043262734817,0.0911446456414656,0.458954875034388,0.112174550670999,0.989475839583385,0.0322652040354316,43
20,14,10,0.458599185052673,0.11638473843678,0.437861636928705,0.215945400036504,0.980364480172538,0.0585900322372015,43
20,14,11,0.41950612083415,0.164044882991976,0.410964808939111,0.265268103560617,0.966145961921819,0.0717462012486334,43
20,14,12,0.413272119409632,0.155864953827378,0.386240604114919,0.225914217413832,0.955767756395474,0.0614290832633879,43
20,14,13,0.394934732390273,0.180077718131835,0.256489324658079,0.379405910540454,0.883337788002494,0.0986762837938975,43
20,14,14,0.448637873754153,0.19052347026666,0.408114209668158,0.53845284256776,0.969383302044654,0.146302182080944,43
20,15,1,0.0536320191158901,0.0238863141888609,0.06816104131478,0.0472408957047671,0.805375618948791,0.0109379261577488,837
20,15,2,0.189473846757909,0.03463002728094,0.207593872326713,0.0717805877737941,0.861699282772409,0.0186463438817421,837
20,15,3,0.315490465462371,0.0543213887261705,0.33954990250908,0.0953116541664255,0.928582716109993,0.0258649169617693,837
20,15,4,0.432141292824756,0.0738838056310606,0.458214231840176,0.108322099970104,0.991942738474956,0.0301638187440058,837
20,15,5,0.526498156309108,0.0821744050815546,0.530759034714763,0.122871105194582,1.02955879698069,0.0350559275400093,837
20,15,6,0.602851556269911,0.0878829496791894,0.616023152995573,0.124825914611038,1.07338462916328,0.0365905616546762,837
20,15,7,0.677525258403048,0.0923154462072797,0.699313116305195,0.129657759012375,1.11817668708746,0.0374206030052719,837
20,15,8,0.731491190847814,0.0964684872043325,0.749293411720295,0.125878405555583,1.14422151368217,0.0358855832890273,837
20,15,9,0.775270923299618,0.10114352559554,0.781979717085676,0.130929267650572,1.16224883662166,0.0376119059098564,837
20,15,10,0.805846928975373,0.107749909481441,0.79889152263176,0.14074684355615,1.17151578057787,0.0405015269476553,837
20,15,11,0.838059424085887,0.114741007255368,0.839433146565726,0.142969160591051,1.19277778863802,0.0406893241974045,837
20,15,12,0.872306238685581,0.118397146721531,0.879957319249885,0.140905634089084,1.21425044047788,0.0403899924186531,837
20,15,13,0.900235851601218,0.123361547293388,0.906816640202891,0.150529432384881,1.22836481039762,0.0430447406021432,837
20,15,14,0.920436365164401,0.132197499609174,0.925105340289675,0.163782026061482,1.23828035853029,0.0461234833464174,837
20,15,15,0.93863628239274,0.139141457043518,0.94017832023106,0.175138694264873,1.24624111742289,0.0502286265005215,837
60,3,1,-0.0945833333333333,0.00725694444444444,-0.0307343158994401,0.00758327709379826,0.755868310206628,0.00168525583852728,8
60,3,2,-0.0151844698129528,0.00914173648251318,-0.0506079158521131,0.0298993248370212,0.731693316147548,0.00777392391298533,8
60,3,3,-0.0364015151515152,0.00797891742096288,-0.185476498281319,0.182004032152177,0.6714558851101,0.0442882863247154,8
60,4,1,-0.0208058608058608,0.00623884954551621,-0.0547020210179136,0.0137072314257091,0.747648432250008,0.0029420099288109,91
