"n.pop0","gen","ext.gen","p.fix.pos","p.fix.neg","vbar","vvar","n"
60,6,6,0.328,0.307612903225806,0.154496599939856,0.00216396280556244,155
60,6,7,0.269726775956284,0.258142076502732,0.189235452580235,0.000950558202474775,183
60,6,8,0.255966386554622,0.249915966386555,0.203783667075973,0.000797940149977151,238
60,6,9,0.25021645021645,0.246233766233766,0.211754359695128,0.000638909219692364,231
60,6,10,0.247441860465116,0.243720930232558,0.211916286424997,0.000497259497530719,172
60,6,11,0.245915492957746,0.240845070422535,0.215500306209455,0.000494849625589389,142
60,6,12,0.24576,0.24224,0.216274458695665,0.000461196099664664,125
60,6,13,0.24647619047619,0.241904761904762,0.214555023018414,0.000463958426133759,105
60,6,14,0.247272727272727,0.242020202020202,0.220326626736941,0.000543403264126359,99
60,6,15,0.24358282208589,0.240556237218814,0.219367526983508,0.000346108124961004,2445
60,7,7,0.348852459016393,0.319562841530055,0.140814648709337,0.00206067407681579,183
60,7,8,0.284705882352941,0.269747899159664,0.178382481072272,0.00134380525329051,238
60,7,9,0.26995670995671,0.257662337662338,0.190956541461,0.00107784032127405,231
60,7,10,0.257441860465116,0.250232558139535,0.19790349725617,0.000668206452184957,172
60,7,11,0.255211267605634,0.245915492957746,0.20339257029486,0.000694131302809681,142
60,7,12,0.25184,0.2464,0.20402908285325,0.000562564514562772,125
60,7,13,0.256,0.245333333333333,0.201437607414825,0.000656945201409488,105
60,7,14,0.252525252525253,0.244040404040404,0.207698302945475,0.000712109163348754,99
60,7,15,0.248932515337423,0.241423312883436,0.209414151088342,0.000524261130952047,2445
60,8,8,0.362689075630252,0.333781512605042,0.130041157058061,0.00222131290223454,238
60,8,9,0.303896103896104,0.278095238095238,0.164994514415841,0.00156675448522166,231
60,8,10,0.279767441860465,0.264186046511628,0.180300432065026,0.00102367149259496,172
60,8,11,0.272676056338028,0.254929577464789,0.188103671942398,0.000946394892511924,142
60,8,12,0.26848,0.25088,0.189612383966376,0.000924300137097497,125
60,8,13,0.266285714285714,0.251428571428571,0.188586428005251,0.00083907715808736,105
60,8,14,0.260606060606061,0.247676767676768,0.194959942212055,0.000857193333778493,99
60,8,15,0.255411042944785,0.243108384458078,0.199997288412054,0.000720275571708611,2445
60,9,9,0.374372294372294,0.34025974025974,0.122209828823781,0.00190573248630536,231
60,9,10,0.314651162790698,0.285116279069767,0.157656490820703,0.00139038327040278,172
60,9,11,0.296338028169014,0.267042253521127,0.169999301903555,0.00122736489874252,142
60,9,12,0.28608,0.2576,0.175816957973432,0.00117847492429615,125
60,9,13,0.283809523809524,0.260190476190476,0.173895963771163,0.00112396715452713,105
60,9,14,0.275151515151515,0.254141414141414,0.182317186322737,0.00117911391742044,99
60,9,15,0.263329243353783,0.24480981595092,0.191110943345715,0.000869930091775182,2445
60,10,10,0.374883720930233,0.336046511627907,0.120030955090908,0.00184116805411937,172
60,10,11,0.324225352112676,0.287323943661972,0.150167121820078,0.00142330776022244,142
60,10,12,0.31488,0.27264,0.158147900157613,0.00129768151983075,125
60,10,13,0.310095238095238,0.273904761904762,0.156880940082853,0.00152434795802949,105
60,10,14,0.286464646464646,0.259393939393939,0.171953786729806,0.00126117239529443,99
60,10,15,0.271705521472393,0.24678936605317,0.183043386692617,0.00103625606661401,2445
60,11,11,0.391267605633803,0.342535211267606,0.110867716018332,0.00170895945141944,142
60,11,12,0.3456,0.29664,0.139418364059681,0.0014298817598376,125
60,11,13,0.341333333333333,0.285714285714286,0.139064445721697,0.00175210186567922,105
60,11,14,0.307878787878788,0.271919191919192,0.157151462659322,0.00144581667409325,99
60,11,15,0.280245398773006,0.249243353783231,0.175828808456546,0.00117908734414412,2445
60,12,12,0.42272,0.35616,0.0963138993197279,0.00182796166834132,125
60,12,13,0.367619047619048,0.309714285714286,0.122819466106852,0.00159905683286022,105
60,12,14,0.337777777777778,0.291313131313131,0.139684254935377,0.00193144110607124,99
60,12,15,0.288278118609407,0.251304703476483,0.168732561682898,0.00130340878868985,2445
60,13,13,0.422476190476191,0.364190476190476,0.0917295818786068,0.00175698549609058,105
60,13,14,0.37010101010101,0.317171717171717,0.120144254285952,0.00202466047952123,99
60,13,15,0.296670756646217,0.25359509202454,0.162394795320197,0.00139324591586802,2445
60,14,14,0.418989898989899,0.370505050505051,0.090467146776406,0.00218947672966692,99
60,14,15,0.304556237218814,0.256343558282209,0.156642181667578,0.00149975961144774,2445
60,15,15,0.312049079754601,0.259288343558282,0.151176549321253,0.00166347422173152,2445
