"gen","bottleneck","n.pop0","gbar","gvar","zbar","zvar","wbar","wvar","n.trials"
5,TRUE,20,0.614269005847953,0.390020717580975,0.613529656207997,0.645037851721967,1.15292687477341,0.193851784705635,1701
5,TRUE,100,0.585642960299449,0.373464384204824,0.587212731255435,0.622505364601549,1.13890234498995,0.189055072294634,2023
6,FALSE,20,0.780703419475554,0.514470890370322,0.780214977958726,0.761007691898621,1.24003724824826,0.213222294633078,1609
6,FALSE,100,0.677840706158477,0.479037224151552,0.67572758909751,0.727873487627013,1.18554362722921,0.210147314736671,2028
6,TRUE,20,0.740755735492578,0.38444777433704,0.740991040636401,0.641132631221412,1.22167599499544,0.190798174033134,1494
6,TRUE,100,0.697776411624345,0.362566783399275,0.695578413690776,0.610946241442592,1.19821312521717,0.18541945186876,2016
7,FALSE,20,0.928719874257772,0.503017794953418,0.929314447714673,0.750228393587309,1.31735385688814,0.203948682530736,1486
7,FALSE,100,0.79707218528146,0.475412985411297,0.798417166827423,0.727642077773499,1.25016568943988,0.206346929313599,2026
7,TRUE,20,0.857242740102089,0.371961375371081,0.85542599331754,0.626618260588881,1.28354956646956,0.183062080834706,1344
7,TRUE,100,0.794174175217871,0.354571348499413,0.792387143299092,0.605522714372903,1.25118128315024,0.181672016087588,1992
8,FALSE,20,1.04856762048936,0.488676492650612,1.04754097009879,0.734598719479955,1.3783228999897,0.193308366099916,1387
8,FALSE,100,0.902898445417519,0.472434310581743,0.902877192761725,0.725604899998927,1.30506955163726,0.201309861994558,2023
8,TRUE,20,0.961658868280203,0.363209716761426,0.960966766726753,0.608841735455289,1.34111510976019,0.174540054142701,1243
8,TRUE,100,0.883954495494277,0.349668930406478,0.88357307624966,0.599708889504091,1.30058286723662,0.17679293682438,1950
9,FALSE,20,1.16798932977659,0.473521993526677,1.16940879730932,0.723479497743561,1.43845397326656,0.179965418776265,1309
9,FALSE,100,1.00846340779512,0.466996283022725,1.00828730443962,0.716581700788544,1.3594043766111,0.192624772008204,2021
9,TRUE,20,1.05890891769248,0.35311901811639,1.05900313562586,0.599443359092468,1.3924898857736,0.165748321391612,1171
9,TRUE,100,0.96872093641926,0.341367726507242,0.966971213991989,0.591267511713187,1.34532165410776,0.170314510345987,1921
10,FALSE,20,1.26958207990453,0.455976406539882,1.27020162089971,0.701096934471783,1.48783564338774,0.166313046484772,1254
10,FALSE,100,1.10742225751814,0.4607640998014,1.10711645780897,0.709836645090621,1.40915647480408,0.183565425666331,2016
10,TRUE,20,1.14258941149739,0.344485932856897,1.14139400866549,0.593353293622071,1.4348028735142,0.158433136351547,1118
10,TRUE,100,1.04790970494134,0.332831675284284,1.04779940749065,0.582127443204507,1.38805060681883,0.163271405652048,1881
11,FALSE,20,1.36067938939822,0.438013235726808,1.36121907928519,0.687579834051341,1.53061991583238,0.154274527380689,1210
11,FALSE,100,1.1954898747459,0.453367954694335,1.19566662387332,0.70255968636206,1.45250728749101,0.174104924548913,2012
11,TRUE,20,1.22002952942216,0.335390341432002,1.2172374842945,0.584036376045914,1.47328352015012,0.149661377530031,1073
11,TRUE,100,1.11916679363931,0.327131658063922,1.11936794278545,0.578833025234114,1.42505494451001,0.157256113247754,1854
12,FALSE,20,1.44047614692659,0.422625796109884,1.43913720957475,0.671347164289006,1.56655274938561,0.142890597458411,1181
12,FALSE,100,1.27819303280971,0.447149645378109,1.27713097751908,0.698051822832657,1.49121050085011,0.165031415034666,2009
12,TRUE,20,1.29331698659968,0.328895352658886,1.29212200455971,0.577846793121617,1.51008655158268,0.141597202149364,1042
12,TRUE,100,1.1860551852333,0.321115358073703,1.18632363334946,0.571517202129042,1.45938427276913,0.150421165022451,1822
13,FALSE,20,1.51192162070854,0.410328733959581,1.512528816409,0.663412202571493,1.59827947278902,0.133024656598646,1153
13,FALSE,100,1.35373728806395,0.440358557111829,1.35352780026152,0.690254684105427,1.52673794985734,0.155553105771212,2007
13,TRUE,20,1.35928261269289,0.321863973450774,1.35793470586912,0.570953317121256,1.5418758363641,0.134048202906921,1021
13,TRUE,100,1.24898510536559,0.316020120300652,1.24913050509633,0.565241160181008,1.49081238329534,0.143500775908741,1793
14,FALSE,20,1.57674837146419,0.400155198916006,1.57732275544983,0.648958042675561,1.62657151606716,0.123287270498825,1142
14,FALSE,100,1.42346790176429,0.434108208945631,1.42335820534496,0.683981358326661,1.55817191560467,0.146636801072846,2004
14,TRUE,20,1.4209896982064,0.31545520726692,1.42078486727095,0.565476461174876,1.57082770037418,0.126177214373373,1011
14,TRUE,100,1.30775800966924,0.311351548278885,1.30756903576104,0.562075423588959,1.51919032366602,0.137318047595248,1780
15,FALSE,20,1.6347185009533,0.388401364053451,1.63512812267609,0.639201469193193,1.65014338946841,0.114863386861646,1125
15,FALSE,100,1.48846957929033,0.42783612318202,1.48867075237091,0.677932110048611,1.58655042653533,0.138060827875577,2004
15,TRUE,20,1.47736054869377,0.308339911941585,1.47862401142228,0.558134690339112,1.59745220393253,0.119069236115316,988
15,TRUE,100,1.36070336349764,0.308430161023171,1.36084692799576,0.55901879066604,1.54452751107554,0.131475962250501,1761
