"trial","gen","n","g","z","w","n.pop0","alpha","evolve","design"
9,5,7,0.514285714285714,0.461756205487833,0.975201290667605,20,0,TRUE,1
9,6,8,0.525,0.74672849719841,1.07619976606895,20,0,TRUE,1
9,7,4,0.4,0.472705689649691,0.962813869115699,20,0,TRUE,1
9,8,2,0.2,0.273045164561136,0.835545313596785,20,0,TRUE,1
10,1,20,0.32,0.0856255748451855,0.771170258790499,100,0,TRUE,1
10,2,16,0.325,0.378022721827016,0.931138876747819,100,0,TRUE,1
10,3,14,0.185714285714286,0.721743486943238,1.1300696823173,100,0,TRUE,1
10,4,14,0.257142857142857,0.219302297916537,0.83743882171728,100,0,TRUE,1
10,5,10,0.14,0.453534956833876,0.988781722389895,100,0,TRUE,1
10,6,7,0.114285714285714,0.0485791865815369,0.805770459972634,100,0,TRUE,1
10,7,4,0.2,0.047722181645232,0.708088216123813,100,0,TRUE,1
10,8,1,0.4,1.07520044241693,1.33461463268564,100,0,TRUE,1
11,1,20,0.32,0.333626716305463,0.92782234736135,20,0.0035,TRUE,1
11,2,15,0.0133333333333333,-0.212673352895228,0.682482920452138,20,0.0035,TRUE,1
11,3,9,-0.111111111111111,-0.115655403114347,0.658030903565504,20,0.0035,TRUE,1
11,4,1,-1,-1.35040735839652,0.184609805343609,20,0.0035,TRUE,1
12,1,20,0.32,0.504971962971248,1.00696489661305,100,0.0035,TRUE,1
12,2,19,-0.484210526315789,-0.44469801165427,0.545874233786166,100,0.0035,TRUE,1
12,3,8,0.1,-0.0188549404618923,0.767282533261027,100,0.0035,TRUE,1
12,4,1,-0.4,0.351569231700328,0.878907907980221,100,0.0035,TRUE,1
13,1,20,0.32,0.355308671720455,0.934989560785703,20,0,FALSE,1
13,2,19,-0.2,-0.201190000131894,0.659818720004043,20,0,FALSE,1
13,3,8,0.275,0.301368762032791,0.927419349921186,20,0,FALSE,1
13,4,12,-0.0333333333333333,-0.127685477008449,0.712814166729907,20,0,FALSE,1
13,5,16,0.325,0.50229970435959,0.998303317241863,20,0,FALSE,1
13,6,12,4.61689425116744e-18,0.512119174048409,1.03248565890552,20,0,FALSE,1
13,7,20,-0.03,-0.00271234997148932,0.767382795038261,20,0,FALSE,1
13,8,10,0.04,0.0203562648901111,0.776892024809218,20,0,FALSE,1
13,9,1,0.4,0.883244130205288,1.21182021917869,20,0,FALSE,1
