"trial","gen","n","g","z","w","n.pop0","alpha","evolve","block","rep","design"
158,5,29,-0.0137931034482759,0.0389845835116095,0.755647751338403,100,0,FALSE,4,2,2
158,6,34,1.60398144929473e-18,0.105151092694167,0.799639973114958,100,0,FALSE,4,2,2
158,7,28,-0.0642857142857143,0.290007039293168,0.902964991757039,100,0,FALSE,4,2,2
158,8,33,0.0484848484848485,0.280952656717663,0.8886870511756,100,0,FALSE,4,2,2
158,9,25,-0.128,-0.242737311702871,0.665819306861282,100,0,FALSE,4,2,2
158,10,27,-0.118518518518519,-0.0902735874112244,0.725166589539445,100,0,FALSE,4,2,2
158,11,20,-0.08,-0.24907079660865,0.639307447156656,100,0,FALSE,4,2,2
158,12,13,-0.0615384615384615,-0.0895481515369561,0.7584955073099,100,0,FALSE,4,2,2
158,13,4,0.15,0.610068470629964,1.08085226307356,100,0,FALSE,4,2,2
158,14,4,0.65,0.534651854415359,0.995901077085971,100,0,FALSE,4,2,2
158,15,2,0.2,0.28525062370902,0.839721427171691,100,0,FALSE,4,2,2
159,1,20,0.3,0.384370185466163,0.950230720457887,20,0.0035,FALSE,4,2,2
159,2,9,-0.0444444444444444,-0.349640241925011,0.573289015519795,20,0.0035,FALSE,4,2,2
159,3,5,-0.2,-0.354673544021726,0.582547112081077,20,0.0035,FALSE,4,2,2
159,4,1,0.6,0.314414533887625,0.856860512233719,20,0.0035,FALSE,4,2,2
160,1,100,0.206,0.128191628102915,0.832852075036661,100,0.0035,FALSE,4,2,2
160,2,72,0.0722222222222222,0.166603821588839,0.84848478535213,100,0.0035,FALSE,4,2,2
160,3,37,-0.237837837837838,-0.254960186182864,0.682501709347006,100,0.0035,FALSE,4,2,2
160,4,19,-0.157894736842105,-0.429734342323762,0.555635926765293,100,0.0035,FALSE,4,2,2
160,5,15,0.0666666666666667,-0.0557126534718164,0.723905910475613,100,0.0035,FALSE,4,2,2
160,6,11,-0.145454545454545,0.0129912005016781,0.740595887239877,100,0.0035,FALSE,4,2,2
