"trial","gen","n","g","z","w","n.pop0","alpha","evolve","sourcepop","block","rep","design"
128,6,26,-0.215384615384615,-0.284462852561337,0.646061512724354,100,0.0035,FALSE,64,3,4,3
128,7,18,0.233333333333333,0.0452902853439891,0.764937097084313,100,0.0035,FALSE,64,3,4,3
128,8,5,0.04,-0.0343449146837274,0.757702567906188,100,0.0035,FALSE,64,3,4,3
128,9,2,-0.2,-0.414579689251983,0.566371415890803,100,0.0035,FALSE,64,3,4,3
128,10,3,0.8,1.22768373247585,1.1076553722832,100,0.0035,FALSE,64,3,4,3
128,11,8,0.275,0.41493205219629,0.954174831259962,100,0.0035,FALSE,64,3,4,3
128,12,2,0.7,1.16903519754655,1.38690727247278,100,0.0035,FALSE,64,3,4,3
128,13,2,0.3,0.554676371441546,1.00519954320425,100,0.0035,FALSE,64,3,4,3
129,1,20,-0.89,-1.07990707443095,0.341693278762042,20,0,TRUE,65,3,5,3
129,2,13,-0.553846153846154,-0.383714707042539,0.596543691026481,20,0,TRUE,65,3,5,3
129,3,15,-0.466666666666667,-0.365218152775463,0.601651464910967,20,0,TRUE,65,3,5,3
129,4,3,-0.0666666666666667,-0.360788896685291,0.620892441582076,20,0,TRUE,65,3,5,3
130,1,100,-0.514,-0.497656623476733,0.538282709699327,100,0,TRUE,65,3,5,3
130,2,49,-0.379591836734694,-0.22334633228313,0.628854284543412,100,0,TRUE,65,3,5,3
130,3,38,-0.331578947368421,-0.580540177152825,0.490631570911735,100,0,TRUE,65,3,5,3
130,4,20,-0.27,-0.410068651158733,0.53938150157038,100,0,TRUE,65,3,5,3
130,5,9,-0.177777777777778,-0.0637385126011506,0.67928098545925,100,0,TRUE,65,3,5,3
130,6,6,-0.166666666666667,-0.573249555321718,0.504716639636014,100,0,TRUE,65,3,5,3
130,7,4,0.15,-0.0284878050420188,0.692372240413346,100,0,TRUE,65,3,5,3
131,1,20,0.15,0.43905159387422,0.981184525647912,20,0.0035,TRUE,66,3,5,3
131,2,20,0.29,0.32427441553253,0.904138789592348,20,0.0035,TRUE,66,3,5,3
131,3,14,0.442857142857143,0.457188109773734,0.983367399220689,20,0.0035,TRUE,66,3,5,3
131,4,25,0.384,0.401242045917029,0.973366251783296,20,0.0035,TRUE,66,3,5,3
131,5,25,0.456,0.575154787592584,1.05092861866634,20,0.0035,TRUE,66,3,5,3
131,6,25,0.496,0.545553531133078,1.02772130895671,20,0.0035,TRUE,66,3,5,3
131,7,19,0.589473684210526,0.535961900394021,1.01533571171694,20,0.0035,TRUE,66,3,5,3
131,8,15,0.6,0.294188657205978,0.870249269014264,20,0.0035,TRUE,66,3,5,3
131,9,8,0.35,0.60363876803474,1.05241119864196,20,0.0035,TRUE,66,3,5,3
131,10,10,0.44,0.152321869134613,0.788725332948894,20,0.0035,TRUE,66,3,5,3
131,11,6,0.5,0.228478099948087,0.85210240268119,20,0.0035,TRUE,66,3,5,3
131,12,3,0.4,0.551193981515396,1.00589660063065,20,0.0035,TRUE,66,3,5,3
132,1,100,-0.32,-0.264951423600371,0.621147443042812,100,0.0035,TRUE,66,3,5,3
132,2,46,-0.330434782608696,-0.231354273263072,0.638859703959115,100,0.0035,TRUE,66,3,5,3
132,3,26,-0.161538461538462,-0.389281392700406,0.575887609620577,100,0.0035,TRUE,66,3,5,3
132,4,17,-0.482352941176471,-0.568365156329592,0.486885834336473,100,0.0035,TRUE,66,3,5,3
132,5,14,-0.314285714285714,-0.322373208902948,0.584579466265733,100,0.0035,TRUE,66,3,5,3
132,6,9,-0.155555555555556,-0.216551037678019,0.624901203215798,100,0.0035,TRUE,66,3,5,3
132,7,9,0.0222222222222222,0.248939451346292,0.889013648661759,100,0.0035,TRUE,66,3,5,3
132,8,9,0.0444444444444445,-0.202582509554541,0.616053313820886,100,0.0035,TRUE,66,3,5,3
132,9,13,0.261538461538462,0.339739035489434,0.902065758321769,100,0.0035,TRUE,66,3,5,3
132,10,17,-0.0823529411764706,-0.100020082236394,0.723282513580415,100,0.0035,TRUE,66,3,5,3
132,11,18,-0.155555555555556,-0.424594189187578,0.525191918719077,100,0.0035,TRUE,66,3,5,3
132,12,8,0.3,0.392023073058339,0.946557520662378,100,0.0035,TRUE,66,3,5,3
132,13,10,0.22,0.223248432681668,0.836221670151661,100,0.0035,TRUE,66,3,5,3
132,14,6,0.366666666666667,0.257854789973083,0.835975889007778,100,0.0035,TRUE,66,3,5,3
132,15,8,0.65,0.525192789406775,1.0179883171831,100,0.0035,TRUE,66,3,5,3
133,1,20,1.01,1.27505199313752,1.39737887457817,20,0,FALSE,67,3,5,3
133,2,45,0,-0.070297491206593,0.728949620789043,20,0,FALSE,67,3,5,3
133,3,20,0.06,-0.136170589076628,0.708865498203801,20,0,FALSE,67,3,5,3
133,4,13,-0.0923076923076923,0.296913652840433,0.909041200430714,20,0,FALSE,67,3,5,3
133,5,16,0.5875,0.445263838618268,0.999698241034035,20,0,FALSE,67,3,5,3
133,6,15,-0.16,-0.22465072026809,0.645886569614814,20,0,FALSE,67,3,5,3
133,7,9,0.0888888888888889,0.063861261716703,0.791406182899223,20,0,FALSE,67,3,5,3
133,8,2,0.4,0.987898958551169,1.27199728393938,20,0,FALSE,67,3,5,3
134,1,100,0.948,0.821579750599558,1.17498325603034,100,0,FALSE,67,3,5,3
134,2,118,0.076271186440678,0.120654819347746,0.836546802203072,100,0,FALSE,67,3,5,3
134,3,94,0.00425531914893617,0.0616990954313079,0.786111483070981,100,0,FALSE,67,3,5,3
134,4,82,-0.0170731707317073,0.0611706799044825,0.778763160936506,100,0,FALSE,67,3,5,3
134,5,74,-0.0378378378378378,0.0380330925554643,0.793445994768389,100,0,FALSE,67,3,5,3
134,6,66,-0.0666666666666667,-0.307288435528784,0.617555322957055,100,0,FALSE,67,3,5,3
134,7,48,-0.05,0.0578969725465685,0.791893600243701,100,0,FALSE,67,3,5,3
134,8,35,-0.0514285714285714,-0.170616496896595,0.672607756217787,100,0,FALSE,67,3,5,3
134,9,25,0.048,-0.021049118381467,0.744373909253338,100,0,FALSE,67,3,5,3
134,10,19,-0.0526315789473684,0.0629466696296451,0.771766555901298,100,0,FALSE,67,3,5,3
134,11,21,-0.0380952380952381,0.196288360445617,0.875952034024926,100,0,FALSE,67,3,5,3
134,12,14,0.171428571428571,0.100652385378696,0.828370589764054,100,0,FALSE,67,3,5,3
134,13,11,0.0363636363636363,0.0596730996026801,0.818438125924431,100,0,FALSE,67,3,5,3
134,14,7,-0.571428571428571,-0.525567406732934,0.543705109116182,100,0,FALSE,67,3,5,3
134,15,1,0.2,-0.189264889739586,0.584490876911109,100,0,FALSE,67,3,5,3
135,1,20,-0.04,0.200402868394415,0.838664241730893,20,0.0035,FALSE,68,3,5,3
135,2,17,-0.0941176470588235,0.105535264666561,0.785787069978428,20,0.0035,FALSE,68,3,5,3
135,3,14,0.171428571428571,0.122183943048369,0.84024766162054,20,0.0035,FALSE,68,3,5,3
135,4,12,-0.216666666666667,-0.417079461388846,0.596994900472834,20,0.0035,FALSE,68,3,5,3
135,5,8,0.225,0.522449583326958,1.00813627544706,20,0.0035,FALSE,68,3,5,3
135,6,8,0.05,-0.0799944442562146,0.743023905430453,20,0.0035,FALSE,68,3,5,3
135,7,2,0.4,0.42897639472615,0.926403610618487,20,0.0035,FALSE,68,3,5,3
136,1,100,0.106,0.0139464440930945,0.743587118705489,100,0.0035,FALSE,68,3,5,3
136,2,65,0.0892307692307692,0.145684183997503,0.837130708398032,100,0.0035,FALSE,68,3,5,3
136,3,41,0.160975609756098,0.182908212056489,0.84746076328948,100,0.0035,FALSE,68,3,5,3
136,4,35,-0.165714285714286,-0.271068383898956,0.634674277071067,100,0.0035,FALSE,68,3,5,3
136,5,29,5.74253288599219e-18,-0.0270997400522279,0.782675595610562,100,0.0035,FALSE,68,3,5,3
136,6,21,-0.180952380952381,-0.159519067074325,0.715085926117892,100,0.0035,FALSE,68,3,5,3
136,7,20,-0.14,-0.0671527386543807,0.710410688444195,100,0.0035,FALSE,68,3,5,3
136,8,8,-0.075,-0.0536446752825035,0.735760053387442,100,0.0035,FALSE,68,3,5,3
136,9,7,0.114285714285714,-0.00441667783943127,0.742482761114107,100,0.0035,FALSE,68,3,5,3
136,10,14,0.185714285714286,0.183262027888841,0.822169869272644,100,0.0035,FALSE,68,3,5,3
136,11,11,0.181818181818182,-0.134909184507512,0.691467184734865,100,0.0035,FALSE,68,3,5,3
136,12,2,0.9,1.04951510402506,1.31808878710746,100,0.0035,FALSE,68,3,5,3
136,13,4,-0.1,-0.0777877592190945,0.705116301187537,100,0.0035,FALSE,68,3,5,3
137,1,20,0.8,0.684920142057357,1.08924853192106,20,0,TRUE,69,3,6,3
137,2,16,0.675,0.637075587885591,1.08860378756968,20,0,TRUE,69,3,6,3
137,3,24,0.633333333333333,0.604646886180083,1.06468393460803,20,0,TRUE,69,3,6,3
137,4,26,0.784615384615385,0.711075200667051,1.14212409956444,20,0,TRUE,69,3,6,3
137,5,28,1.02142857142857,0.933472334273312,1.23147884309577,20,0,TRUE,69,3,6,3
137,6,39,1.04102564102564,0.937930030511473,1.23406447192902,20,0,TRUE,69,3,6,3
137,7,55,1.14545454545455,1.24475573409272,1.36912649177985,20,0,TRUE,69,3,6,3
137,8,68,1.30882352941176,1.41677433860339,1.4630022862589,20,0,TRUE,69,3,6,3
137,9,121,1.37851239669421,1.40317133149417,1.47352873123371,20,0,TRUE,69,3,6,3
137,10,182,1.31538461538462,1.27324339752723,1.40664034940859,20,0,TRUE,69,3,6,3
137,11,288,1.31041666666667,1.36522666260207,1.45507504541886,20,0,TRUE,69,3,6,3
137,12,394,1.33604060913706,1.30083159487392,1.41996845541899,20,0,TRUE,69,3,6,3
